ACL	权限控制点，包括url，url分组，以及页面功能
GLOBAL_WHITE_LIST_IP	指定IP白名單資料表
GLOBAL_WHITE_LIST_LOG	指定IP白名單操作歷史紀錄 僅顯示10筆操作紀錄
HELP	
HELP_CATEGORY	
HELP_FEEDBACK	
HELP_HOTKEYWORDS	
HELP_KNOWLEDGE	
HELP_KNOWLEDGE_LINK	
IM_GROUP	
IM_GROUP_MESSAGE	
IM_GROUP_MESSAGE_HIST	
IM_GROUP_USER	
IM_USER	
JUDGEMENT	
MAILCONFIG	
MVIEW_FUND_CHANGE_LOG	
MVIEW_TOP_CHARGE_WITHDRW_RPT	
MVIEW_USER_AGENT_COUNT	
NOTICE_MSG	
NOTICE_MSG_PUSH	
NOTICE_TASK	
PRE_VIEW_USER_AGENT_COUNT	
P_USER_CUSTOMER	
QRTZ_BLOB_TRIGGERS	
QRTZ_CALENDARS	
QRTZ_CRON_TRIGGERS	
QRTZ_FIRED_TRIGGERS	
QRTZ_FROG_BLOB_TRIGGERS	
QRTZ_FROG_CALENDARS	
QRTZ_FROG_CRON_TRIGGERS	
QRTZ_FROG_FIRED_TRIGGERS	
QRTZ_FROG_JOB_DETAILS	
QRTZ_FROG_JOB_LISTENERS	
QRTZ_FROG_LOCKS	
QRTZ_FROG_PAUSED_TRIGGER_GRPS	
QRTZ_FROG_SCHEDULER_STATE	
QRTZ_FROG_SIMPLE_TRIGGERS	
QRTZ_FROG_TRIGGERS	
QRTZ_FROG_TRIGGER_LISTENERS	
QRTZ_JOB_DETAILS	
QRTZ_JOB_LISTENERS	
QRTZ_LOCKS	
QRTZ_PAUSED_TRIGGER_GRPS	
QRTZ_SCHEDULER_STATE	
QRTZ_SIMPLE_TRIGGERS  
QRTZ_TRIGGERS  
QRTZ_TRIGGER_LISTENERS  
REPORT_DETAIL_FOR_AGENT  
REPORT_DETAIL_FOR_AGENT_TEMP  
SL_GAMEORDER_LEADERBOARD  
SL_POOLKING_GAMEORDER  流水王报表
SUBSYSTEMLIST  
SUBSYS_ACTIVITY_LOG  
TASK  
TEMP_ACTIVITY  
TEST_TS  
TOAD_PLAN_TABLE  
USER_ACTIVITY_GIFTS  
USER_AGENT_COUNT  
USER_AGENT_INCOME  
USER_APPEAL  
USER_BANK  
USER_BANK_BAK  
USER_BANK_BIND_HISTORY  
USER_BANK_LOCKED  
USER_CUSTOMER  
USER_CUSTOMER_FOR_AGENT  
USER_CUSTOMER_FOR_REPORT_TEMP  上下級對應表
USER_FREEZE_LOG  
USER_LEVEL_RECYCLE  
USER_LOGIN_LOG  用户登录日志
USER_MESSAGE	站内信
USER_MESSAGE_HIST	站内信
USER_MESSAGE_REPLY	
USER_NOTICE_TASK	
USER_PT_REGISTER	
USER_REGISTER_REPORT	
USER_REPORT_FOR_AGENT	
USER_SLOT_EXCHANGE	
USER_SLOT_EXCHANGE_ACTIVITY	
USER_SLOT_EXCHANGE_LOG	
USER_SYSTEM_UPDATE_LOG	
USER_URL	推广链接
VIEW_A	
VIEW_Z	
